t,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint
2.600000000000000089e+00,1.598118298209459387e-01,4.998043612542477643e-01,-1.711875194625750995e-01,1.110795842294939995e+00,2.786865529666555652e-01,8.780982378504945673e-01,-6.495954279533230902e-02
2.800000000000000266e+00,1.617019140947648093e-02,5.669737411813420280e-01,-7.997876277019574931e-02,1.102239151469402101e+00,1.098320171820210689e-01,9.047943644372125060e-01,-4.962420687212770742e-02
3.000000000000000000e+00,-1.036149686587121421e-01,5.914774248833916115e-01,7.238725699003935310e-02,1.137874051680152876e+00,-1.110256388489372359e-01,9.045306476881006530e-01,-9.411248537530059188e-03
3.200000000000000178e+00,-1.838748946981772214e-01,5.742298822838405314e-01,2.509140829205598333e-01,1.206235882096209133e+00,-3.246641856837499951e-01,8.883258242022392670e-01,4.959436972813374700e-02
3.400000000000000355e+00,-2.182078501910062474e-01,5.303520285973771786e-01,4.107009258725148881e-01,1.282915219956905828e+00,-4.817441939246504545e-01,8.701575810608170869e-01,1.199604834089017802e-01
3.600000000000000089e+00,-2.094985298556400477e-01,4.824750988314177591e-01,5.120323529157134734e-01,1.338884488906417314e+00,-5.576307292472306720e-01,8.616138098791723543e-01,1.936721461047226089e-01
3.800000000000000266e+00,-1.677647964240908951e-01,4.516115648697115459e-01,5.336752374164697166e-01,1.350541112746307171e+00,-5.576839899511506493e-01,8.678777225621117086e-01,2.628514591575945580e-01
4.000000000000000000e+00,-1.067610634271524278e-01,4.491407218717752281e-01,4.795486075397318859e-01,1.307855326606734758e+00,-5.116230446620118055e-01,8.864561590018930071e-01,3.205225417634099405e-01
4.200000000000000178e+00,-4.049203630839254275e-02,4.729470634090734427e-01,3.763987312130736562e-01,1.217715194781836985e+00,-4.596333719562492592e-01,9.089689339551546565e-01,3.614623205878621515e-01
4.400000000000000355e+00,1.939788907745362834e-02,5.090845180039819118e-01,2.634547398001656493e-01,1.101338576582793660e+00,-4.358502797141357021e-01,9.251351978747982541e-01,3.830580820128659525e-01
4.600000000000000533e+00,6.488539994830203050e-02,5.381685226045547221e-01,1.779978791029018237e-01,9.868024326367318411e-01,-4.556090603500735359e-01,9.272737276077760438e-01,3.859636290050100227e-01
4.800000000000000711e+00,9.158469631994750615e-02,5.438603251418824280e-01,1.422378486086244287e-01,8.995055783277453587e-01,-5.111614657847917131e-01,9.134867008839115954e-01,3.742790254443627562e-01
5.000000000000000000e+00,9.806134399787025391e-02,5.200110228543208812e-01,1.563114503391929422e-01,8.540743696195365331e-01,-5.771064669672274494e-01,8.882681317435372481e-01,3.550249645371454932e-01
5.200000000000000178e+00,8.511898553517283084e-02,4.735804332278374940e-01,1.998356374216069820e-01,8.505936097208280922e-01,-6.229271573174346432e-01,8.603379627675618035e-01,3.368477871805901636e-01
5.400000000000000355e+00,5.553832591100645033e-02,4.221224126258140141e-01,2.411762073918229943e-01,8.763500596407818310e-01,-6.272627234983222388e-01,8.386322872847190579e-01,3.281300866663449667e-01
5.600000000000000533e+00,1.433337022059293087e-02,3.867822569837027769e-01,2.506839729032288577e-01,9.121684020830426176e-01,-5.879377760484607585e-01,8.281352905523823305e-01,3.349126997761189273e-01
5.800000000000000711e+00,-3.084219403539624482e-02,3.835467769185293418e-01,2.127063166165144570e-01,9.407050811644680488e-01,-5.235422208406835809e-01,8.273215522129835353e-01,3.591674915912212995e-01
