t,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint
2.400000000000000355e+00,-7.369631715225548607e-01,5.316193633620920345e-01,1.733046823301588546e+00,-7.041966054296822097e-01,1.845085484933375874e-01,8.609643178986283729e-01,-1.587142314169464052e+00
2.600000000000000089e+00,-7.435583797914532278e-01,5.285125612815595453e-01,1.783721401110671234e+00,-7.098108725583355261e-01,2.220782644121618576e-01,8.592618214920948461e-01,-1.700317952118889586e+00
2.800000000000000266e+00,-8.007643542781492929e-01,4.520656829005638144e-01,1.769076276210415299e+00,-6.881013716495253396e-01,1.737079125550103909e-01,8.835462799058702021e-01,-1.679650326850500974e+00
3.000000000000000000e+00,-8.915416174080647016e-01,3.272752728353359730e-01,1.664162699786613242e+00,-6.445674127142304588e-01,6.504992094538947223e-02,9.296633361095818504e-01,-1.601868939013180615e+00
3.200000000000000178e+00,-9.866945884400214473e-01,1.931537760571352957e-01,1.480701074768973058e+00,-5.918720398271175576e-01,-6.599122095149545508e-02,9.802393146790768785e-01,-1.542517395383608658e+00
3.400000000000000355e+00,-1.054251035382484325e+00,9.043427572077167298e-02,1.264275839934640322e+00,-5.453241482847971389e-01,-1.844030517915588030e-01,1.011331104165674732e+00,-1.546920984254172460e+00
3.600000000000000089e+00,-1.070034414203650197e+00,4.854007301796026130e-02,1.078567067843431371e+00,-5.177038234250730397e-01,-2.708772333820471667e-01,1.002290755435116809e+00,-1.615987485484953634e+00
3.800000000000000266e+00,-1.025713014320125849e+00,7.632795989948842896e-02,9.824708902056736859e-01,-5.152981209718928701e-01,-3.274038269807799106e-01,9.449560276801789449e-01,-1.711419186448968510e+00
4.000000000000000000e+00,-9.314958995627053984e-01,1.597857661257915118e-01,1.008678653573072959e+00,-5.365005597723444541e-01,-3.737008013166271958e-01,8.484402888068084403e-01,-1.777121615975143953e+00
4.200000000000000178e+00,-8.125686707804083975e-01,2.673835765801486630e-01,1.151754849701845052e+00,-5.733246719023002980e-01,-4.361866944997920270e-01,7.374177455913429879e-01,-1.767252932086207595e+00
4.400000000000000355e+00,-7.006086260502643048e-01,3.610605222898554123e-01,1.370175612427715350e+00,-6.150776325188598292e-01,-5.341535530148455724e-01,6.442730255285635810e-01,-1.668913812163367316e+00
4.600000000000000533e+00,-6.234559692844221512e-01,4.088768002314043803e-01,1.601522734266712877e+00,-6.526549545252858797e-01,-6.688976213728132780e-01,5.978648209939174674e-01,-1.509845822814667393e+00
4.800000000000000711e+00,-5.966066212142281389e-01,3.948838440361795432e-01,1.785074823435217173e+00,-6.817447577032409445e-01,-8.203915709809145307e-01,6.130257135632947163e-01,-1.347723424480665955e+00
5.000000000000000000e+00,-6.194281760207663856e-01,3.229182008694162498e-01,1.883278637798064148e+00,-7.037251809430092875e-01,-9.530903779039417989e-01,6.847464075271709749e-01,-1.245228102252571745e+00
5.200000000000000178e+00,-6.771875359117781601e-01,2.133502476515549418e-01,1.894063408050049580e+00,-7.239986436479967091e-01,-1.028815018602394105e+00,7.893202065646658383e-01,-1.241076118183215282e+00
5.400000000000000355e+00,-7.478111267910676485e-01,9.442786516224413451e-02,1.849488131862183415e+00,-7.485516256477273700e-01,-1.021774351986569851e+00,8.921712307797005082e-01,-1.329150162957648762e+00
5.600000000000000533e+00,-8.105956326436395409e-01,-8.235064002504483005e-03,1.801435058537058431e+00,-7.802479483007753736e-01,-9.297977728628219474e-01,9.596141611111944636e-01,-1.455026206095070718e+00
5.800000000000000711e+00,-8.534816133422916673e-01,-7.996776527418006375e-02,1.799987023987878354e+00,-8.164752490640280191e-01,-7.771652564304791788e-01,9.703265792423357849e-01,-1.532538856185771348e+00
